Fermata	Latitudine	Longitudine
Linate	45,462742	9,278566
Repetti	45,461877	9,24051
Forlanini FS	45,465978	9,236018
Argonne	45,46815	9,232101
Susa	45,468069	9,226724
Dateo	45,467982	9,217662
Tricolore	45,467853	9,207188
San Babila	45,466389	9,19758
Sforza Policlinico	45,458674	9,194206
Santa Sofia	45,456215	9,187675
Vetra	45,457298	9,182607
De Amicis	45,458973	9,177651
S. Ambrogio	45,46192	9,173349
Parco Solari	45,458947	9,16426
Foppa	45,457574	9,160084
Washington Bolivar	45,455539	9,153724
Tolstoj	45,454097	9,149179
Frattini	45,452094	9,143119
Gelsomini	45,449677	9,135561
Segneri	45,447245	9,131031
San Cristoforo	45,442529	9,130032
