linea;mezzo;percorso;nome;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;METRO;100002;BISCEGLIE - SESTO 1 MAGGIO FS;16.38;27;9.18753014371278;45.4834919858028;"(45.4834919858028, 9.18753014371278)"
1;METRO;100013;MOLINO DORINO - SESTO 1 MAGGIO FS;19.18;29;9.17696606894991;45.4904076482823;"(45.4904076482823, 9.17696606894991)"
1;METRO;100023;QT8 - SESTO 1 MAGGIO FS;15.07;24;9.19616619556975;45.488854318307;"(45.488854318307, 9.19616619556975)"
1;METRO;100030;RHO FIERAMILANO - SESTO 1 MAGGIO FS;21.16;31;9.16897435263357;45.492241352433;"(45.492241352433, 9.16897435263357)"
1;METRO;100033;SESTO 1 MAGGIO FS - BISCEGLIE;16.38;27;9.18753014371278;45.4834919858028;"(45.4834919858028, 9.18753014371278)"
1;METRO;100034;SESTO 1 MAGGIO FS - MOLINO DORINO;19.18;29;9.17696606894991;45.4904076482823;"(45.4904076482823, 9.17696606894991)"
1;METRO;100035;SESTO 1 MAGGIO FS - RHO FIERAMILANO;21.16;31;9.16897435263357;45.492241352433;"(45.492241352433, 9.16897435263357)"
1;METRO;100038;SESTO MARELLI - SESTO 1 MAGGIO FS;2.22;3;9.23207674403433;45.5332194257187;"(45.5332194257187, 9.23207674403433)"
1;METRO;100042;VILLA S.G. - BISCEGLIE;13.48;24;9.17943672448599;45.4747582221475;"(45.4747582221475, 9.17943672448599)"
1;METRO;100043;VILLA S.G. - RHO FIERAMILANO;18.26;28;9.16026398624517;45.4868866808347;"(45.4868866808347, 9.16026398624517)"
2;METRO;100045;ABBIATEGRASSO - CASCINA GOBBA;15.30;20;9.20392280534325;45.4757703438568;"(45.4757703438568, 9.20392280534325)"
2;METRO;100047;ABBIATEGRASSO - COLOGNO NORD;18.89;23;9.21783927393325;45.4846602833926;"(45.4846602833926, 9.21783927393325)"
2;METRO;100048;ABBIATEGRASSO - GESSATE;30.05;30;9.28033019520349;45.5017693802194;"(45.5017693802194, 9.28033019520349)"
2;METRO;100050;ASSAGO MILANOFIORI FORUM - CASCINA GOBBA;18.51;21;9.19568928834049;45.4659268973765;"(45.4659268973765, 9.19568928834049)"
2;METRO;100052;ASSAGO MILANOFIORI FORUM - COLOGNO NORD;22.09;24;9.20917397382788;45.47530931584;"(45.47530931584, 9.20917397382788)"
2;METRO;100053;ASSAGO MILANOFIORI FORUM - GESSATE;33.25;31;9.26993891910903;45.4946082788865;"(45.4946082788865, 9.26993891910903)"
2;METRO;100058;CASCINA ANTONIETTA - GESSATE;1.08;2;9.43006868521804;45.543674503134;"(45.543674503134, 9.43006868521804)"
2;METRO;100059;CASCINA GOBBA - ABBIATEGRASSO;15.30;20;9.20392280534325;45.4757703438568;"(45.4757703438568, 9.20392280534325)"
2;METRO;100060;CASCINA GOBBA - ASSAGO MILANOFIORI FORUM;18.51;21;9.19568928834048;45.4659268973765;"(45.4659268973765, 9.19568928834048)"
2;METRO;100066;COLOGNO NORD - ABBIATEGRASSO;18.89;23;9.21783927393325;45.4846602833925;"(45.4846602833925, 9.21783927393325)"
2;METRO;100067;COLOGNO NORD - ASSAGO MILANOFIORI FORUM;22.09;24;9.20917397382787;45.47530931584;"(45.47530931584, 9.20917397382787)"
2;METRO;100070;FAMAGOSTA - ASSAGO MILANOFIORI FORUM;4.54;3;9.15771730620245;45.4190964371016;"(45.4190964371016, 9.15771730620245)"
2;METRO;100073;GESSATE - ABBIATEGRASSO;30.05;30;9.2803301952035;45.5017693802194;"(45.5017693802194, 9.2803301952035)"
2;METRO;100074;GESSATE - ASSAGO MILANOFIORI FORUM;33.25;31;9.26993891910903;45.4946082788866;"(45.4946082788866, 9.26993891910903)"
2;METRO;100077;GORGONZOLA - ABBIATEGRASSO;27.29;28;9.26500111841571;45.4974488490505;"(45.4974488490505, 9.26500111841571)"
2;METRO;100080;GORGONZOLA - GESSATE;2.76;3;9.42000375355784;45.5411366539759;"(45.5411366539759, 9.42000375355784)"
2;METRO;100095;GORGONZOLA - ASSAGO MILANOFIORI FORUM;30.49;29;9.25492822392799;45.4899541355071;"(45.4899541355071, 9.25492822392799)"
3;METRO;100081;COMASINA - SAN DONATO;15.63;21;9.20242015588284;45.4705274074838;"(45.4705274074838, 9.20242015588284)"
3;METRO;100082;SAN DONATO - COMASINA;15.63;21;9.20242015588284;45.4705274074838;"(45.4705274074838, 9.20242015588284)"
5;METRO;100084;BIGNAMI - SAN SIRO STADIO;12.18;19;9.17208233697965;45.4900520315219;"(45.4900520315219, 9.17208233697965)"
5;METRO;100089;SAN SIRO STADIO - BIGNAMI;12.18;19;9.17208233699428;45.4900520314996;"(45.4900520314996, 9.17208233699428)"
